platform,title,company,location,link,posted,first_seen
LinkedIn,Udaan Data Analyst,Myntra,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/udaan-data-analyst-at-myntra-4420409112,2026-06-18,2026-07-02T18:04:52
LinkedIn,Udaan - Data Analyst,Myntra,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/udaan-data-analyst-at-myntra-4426366531,2026-06-30,2026-07-02T18:04:52
LinkedIn,Data Analyst,Navi,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-navi-4426060246,2026-06-10,2026-07-02T18:04:52
LinkedIn,Data Analyst,Aditya Birla Capital,"Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-aditya-birla-capital-4393216089,2026-06-26,2026-07-02T18:04:52
LinkedIn,Data Analyst,airtel,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-at-airtel-4422253774,2026-06-09,2026-07-02T18:04:52
LinkedIn,Analyst - III,Nykaa,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analyst-iii-at-nykaa-4428480668,2026-06-17,2026-07-02T18:04:52
LinkedIn,Data Analyst Healthcare,Persistent Systems,"Pune City, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-healthcare-at-persistent-systems-4422702349,2026-06-09,2026-07-02T18:04:52
LinkedIn,Business Data Analyst,Persistent Systems,"Pune City, Maharashtra, India",https://in.linkedin.com/jobs/view/business-data-analyst-at-persistent-systems-4423623882,2026-06-11,2026-07-02T18:04:52
LinkedIn,Data Analysis,EXL,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analysis-at-exl-4342246167,2026-06-17,2026-07-02T18:04:52
LinkedIn,Data Analyst Power BI,Persistent Systems,"Pune City, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-power-bi-at-persistent-systems-4422700492,2026-06-09,2026-07-02T18:04:52
LinkedIn,Python Developer,Infosys,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4323369504,2026-04-02,2026-07-02T18:04:52
LinkedIn,Python Developer,Infosys,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4322807316,2026-01-05,2026-07-02T18:04:52
LinkedIn,Associate - Python Data Engineer - GDC,PwC India,"Kolkata, West Bengal, India",https://in.linkedin.com/jobs/view/associate-python-data-engineer-gdc-at-pwc-india-4291069034,2026-06-24,2026-07-02T18:04:52
